일시,종가,전시간종가
2022-06-02 09:00:00,83300,
2022-06-02 10:00:00,83600,83300.0
2022-06-02 11:00:00,83500,83600.0
2022-06-02 12:00:00,83400,83500.0
2022-06-02 13:00:00,83500,83400.0
2022-06-02 14:00:00,83600,83500.0
2022-06-02 15:00:00,83700,83600.0
2022-06-02 16:00:00,83700,83700.0
2022-06-03 09:00:00,86500,83700.0
2022-06-03 10:00:00,86500,86500.0
2022-06-03 11:00:00,85800,86500.0
2022-06-03 12:00:00,85700,85800.0
2022-06-03 13:00:00,85700,85700.0
2022-06-03 14:00:00,85600,85700.0
2022-06-03 15:00:00,85700,85600.0
2022-06-03 16:00:00,85700,85700.0
2022-06-07 09:00:00,82800,85700.0
2022-06-07 10:00:00,82700,82800.0
2022-06-07 11:00:00,82500,82700.0
2022-06-07 12:00:00,82400,82500.0
2022-06-07 13:00:00,82300,82400.0
2022-06-07 14:00:00,81800,82300.0
2022-06-07 15:00:00,81900,81800.0
2022-06-07 16:00:00,81900,81900.0
2022-06-08 09:00:00,82100,81900.0
2022-06-08 10:00:00,82100,82100.0
2022-06-08 11:00:00,81900,82100.0
2022-06-08 12:00:00,81700,81900.0
2022-06-08 13:00:00,81600,81700.0
2022-06-08 14:00:00,81600,81600.0
2022-06-08 15:00:00,81500,81600.0
2022-06-08 16:00:00,81500,81500.0
2022-06-09 09:00:00,80900,81500.0
2022-06-09 10:00:00,80500,80900.0
2022-06-09 11:00:00,80500,80500.0
2022-06-09 12:00:00,80600,80500.0
2022-06-09 13:00:00,81100,80600.0
2022-06-09 14:00:00,80800,81100.0
2022-06-09 15:00:00,81300,80800.0
2022-06-09 16:00:00,81300,81300.0
2022-06-10 09:00:00,80300,81300.0
2022-06-10 10:00:00,80600,80300.0
2022-06-10 11:00:00,80300,80600.0
2022-06-10 12:00:00,80300,80300.0
2022-06-10 13:00:00,80100,80300.0
2022-06-10 14:00:00,80500,80100.0
2022-06-10 15:00:00,80100,80500.0
2022-06-10 16:00:00,80100,80100.0
2022-06-13 09:00:00,77300,80100.0
2022-06-13 10:00:00,77000,77300.0
2022-06-13 11:00:00,77100,77000.0
2022-06-13 12:00:00,76600,77100.0
2022-06-13 13:00:00,76600,76600.0
2022-06-13 14:00:00,76600,76600.0
2022-06-13 15:00:00,76500,76600.0
2022-06-13 16:00:00,76500,76500.0
2022-06-14 09:00:00,76500,76500.0
2022-06-14 10:00:00,74800,76500.0
2022-06-14 11:00:00,75600,74800.0
2022-06-14 12:00:00,75300,75600.0
2022-06-14 13:00:00,75800,75300.0
2022-06-14 14:00:00,76600,75800.0
2022-06-14 15:00:00,76600,76600.0
2022-06-14 16:00:00,76600,76600.0
2022-06-15 09:00:00,74100,76600.0
2022-06-15 10:00:00,73400,74100.0
2022-06-15 11:00:00,73300,73400.0
2022-06-15 12:00:00,72300,73300.0
2022-06-15 13:00:00,72400,72300.0
2022-06-15 14:00:00,73100,72400.0
2022-06-15 15:00:00,72700,73100.0
2022-06-15 16:00:00,72700,72700.0
2022-06-16 09:00:00,74800,72700.0
2022-06-16 10:00:00,74000,74800.0
2022-06-16 11:00:00,73500,74000.0
2022-06-16 12:00:00,73400,73500.0
2022-06-16 13:00:00,72600,73400.0
2022-06-16 14:00:00,72200,72600.0
2022-06-16 15:00:00,72300,72200.0
2022-06-16 16:00:00,72300,72300.0
2022-06-17 09:00:00,72300,72300.0
2022-06-17 10:00:00,72500,72300.0
2022-06-17 11:00:00,72000,72500.0
2022-06-17 12:00:00,72300,72000.0
2022-06-17 13:00:00,72400,72300.0
2022-06-17 14:00:00,72200,72400.0
2022-06-17 15:00:00,72200,72200.0
2022-06-17 16:00:00,72200,72200.0
2022-06-20 09:00:00,69700,72200.0
2022-06-20 10:00:00,68800,69700.0
2022-06-20 11:00:00,69200,68800.0
2022-06-20 12:00:00,69100,69200.0
2022-06-20 13:00:00,69000,69100.0
2022-06-20 14:00:00,69000,69000.0
2022-06-20 15:00:00,69600,69000.0
2022-06-20 16:00:00,69600,69600.0
2022-06-21 09:00:00,70000,69600.0
2022-06-21 10:00:00,69800,70000.0
2022-06-21 11:00:00,69600,69800.0
2022-06-21 12:00:00,70300,69600.0
2022-06-21 13:00:00,70600,70300.0
2022-06-21 14:00:00,70100,70600.0
2022-06-21 15:00:00,70500,70100.0
2022-06-21 16:00:00,70500,70500.0
2022-06-22 09:00:00,69100,70500.0
2022-06-22 10:00:00,69100,69100.0
2022-06-22 11:00:00,69000,69100.0
2022-06-22 12:00:00,69400,69000.0
2022-06-22 13:00:00,69400,69400.0
2022-06-22 14:00:00,68900,69400.0
2022-06-22 15:00:00,68500,68900.0
2022-06-22 16:00:00,68500,68500.0
2022-06-23 09:00:00,68800,68500.0
2022-06-23 10:00:00,68700,68800.0
2022-06-23 11:00:00,67900,68700.0
2022-06-23 12:00:00,67200,67900.0
2022-06-23 13:00:00,68100,67200.0
2022-06-23 14:00:00,67600,68100.0
2022-06-23 15:00:00,67100,67600.0
2022-06-23 16:00:00,67100,67100.0
2022-06-24 09:00:00,71200,67100.0
2022-06-24 10:00:00,70600,71200.0
2022-06-24 11:00:00,71200,70600.0
2022-06-24 12:00:00,71100,71200.0
2022-06-24 13:00:00,71300,71100.0
2022-06-24 14:00:00,71200,71300.0
2022-06-24 15:00:00,71500,71200.0
2022-06-24 16:00:00,71500,71500.0
2022-06-27 09:00:00,72000,71500.0
2022-06-27 10:00:00,72500,72000.0
2022-06-27 11:00:00,72600,72500.0
2022-06-27 12:00:00,72700,72600.0
2022-06-27 13:00:00,72500,72700.0
2022-06-27 14:00:00,71900,72500.0
2022-06-27 15:00:00,71800,71900.0
2022-06-27 16:00:00,71800,71800.0
2022-06-28 09:00:00,71400,71800.0
2022-06-28 10:00:00,71000,71400.0
2022-06-28 11:00:00,70700,71000.0
2022-06-28 12:00:00,70700,70700.0
2022-06-28 13:00:00,70800,70700.0
2022-06-28 14:00:00,70900,70800.0
2022-06-28 15:00:00,71600,70900.0
2022-06-28 16:00:00,71600,71600.0
2022-06-29 09:00:00,70500,71600.0
2022-06-29 10:00:00,70900,70500.0
2022-06-29 11:00:00,70800,70900.0
2022-06-29 12:00:00,71100,70800.0
2022-06-29 13:00:00,71100,71100.0
2022-06-29 14:00:00,71100,71100.0
2022-06-29 15:00:00,70800,71100.0
2022-06-29 16:00:00,70800,70800.0
2022-06-30 09:00:00,70400,70800.0
2022-06-30 10:00:00,70200,70400.0
2022-06-30 11:00:00,70400,70200.0
2022-06-30 12:00:00,70200,70400.0
2022-06-30 13:00:00,70100,70200.0
2022-06-30 14:00:00,70100,70100.0
2022-06-30 15:00:00,69900,70100.0
2022-06-30 16:00:00,69900,69900.0
